token	corpus size	all contexts size	frequency	co-frequency	specificity
டாக்டர்	109600	2670	28	5	3.32
பார்க்க	109600	2670	43	6	3.29
பார்க்கச்	109600	2670	2	2	3.23
÷"சிவாஜி'	109600	2670	2	2	3.23
முடிவடைகிறது.	109600	2670	2	2	3.23
பிடிக்கும்,	109600	2670	2	2	3.23
தேதி.	109600	2670	2	2	3.23
வெற்றியடைய	109600	2670	2	2	3.23
எண்ணுங்கள்.	109600	2670	2	2	3.23
வேறாகவும்	109600	2670	2	2	3.23
இனூடாக	109600	2670	2	2	3.23
ஏற்றதைப்பொல	109600	2670	2	2	3.23
On	109600	2670	2	2	3.23
செய்தவுடனேயே	109600	2670	2	2	3.23
எடுக்கத்தயாரகிவிடும்	109600	2670	2	2	3.23
செக்கனிலேயே	109600	2670	2	2	3.23
கமரா,	109600	2670	2	2	3.23
லென்ஸ்,	109600	2670	2	2	3.23
லொகேசன்,	109600	2670	2	2	3.23
எடுதுவிட்டு	109600	2670	2	2	3.23
ப்ரிண்ட்	109600	2670	2	2	3.23
எடுத்துப்பாக்க	109600	2670	2	2	3.23
நாட்கணக்கில்	109600	2670	2	2	3.23
நினைத்தமாதிரி	109600	2670	2	2	3.23
நினைத்ததைவிட)	109600	2670	2	2	3.23
வேண்டுமென்றால்?	109600	2670	2	2	3.23
விரும்பு-	109600	2670	2	2	3.23
இல்லை?	109600	2670	2	2	3.23
வீரருக்கு	109600	2670	2	2	3.23
நன்றி....	109600	2670	2	2	3.23
பூங்கோதை	109600	2670	2	2	3.23
மதப்	109600	2670	2	2	3.23
பிரச்னை,	109600	2670	2	2	3.23
ஜாதிப்	109600	2670	2	2	3.23
ரிசர்வ்	109600	2670	2	2	3.23
திலகம்	109600	2670	8	3	3.15
புகைப்படக்கலைஞர்கள்	109600	2670	8	3	3.15
Result	109600	2670	8	3	3.15
சாதாரண	109600	2670	19	4	3.03
இருக்கும்.	109600	2670	50	6	2.95
நாள்	109600	2670	69	7	2.93
பிடித்து	109600	2670	10	3	2.84
மலையாளப்	109600	2670	3	2	2.76
பாராட்டினார்.	109600	2670	3	2	2.76
ரங்கோன்	109600	2670	3	2	2.76
எதிர்பாராதது.	109600	2670	3	2	2.76
அமர	109600	2670	3	2	2.76
மைசூர்	109600	2670	3	2	2.76
யோகானந்தா	109600	2670	3	2	2.76
வர்மா	109600	2670	3	2	2.76
செய்யலாம்	109600	2670	3	2	2.76
காத்திருக்க	109600	2670	3	2	2.76
விஷயத்தை(subject)	109600	2670	3	2	2.76
பார்த்துப்	109600	2670	3	2	2.76
உதவிய	109600	2670	3	2	2.76
ரோல்ல	109600	2670	3	2	2.76
சென்னையில்	109600	2670	11	3	2.71
உள்ளே	109600	2670	11	3	2.71
படத்தை	109600	2670	58	6	2.63
கிடைக்கும்	109600	2670	13	3	2.49
வந்துள்ள	109600	2670	4	2	2.47
காட்சியை	109600	2670	4	2	2.47
ராதா	109600	2670	4	2	2.47
திலகத்தின்	109600	2670	4	2	2.47
பிரகாஷ்ராஜ்	109600	2670	4	2	2.47
ஒரிஜினல்	109600	2670	4	2	2.47
யானை	109600	2670	4	2	2.47
சத்சங்கம்	109600	2670	4	2	2.47
நாமும்	109600	2670	4	2	2.47
விம்பம்	109600	2670	4	2	2.47
finder	109600	2670	4	2	2.47
தேவைக்கு	109600	2670	4	2	2.47
முன்னய	109600	2670	4	2	2.47
செட்	109600	2670	4	2	2.47
சொல்லியிருக்கும்	109600	2670	4	2	2.47
வருக	109600	2670	4	2	2.47
தாமதம்	109600	2670	4	2	2.47
அங்கேயும்	109600	2670	4	2	2.47
சந்தரபாரதி	109600	2670	4	2	2.47
ஹிட்	109600	2670	4	2	2.47
போல்	109600	2670	28	4	2.40
ரொம்ப	109600	2670	28	4	2.40
கொஞ்ச	109600	2670	14	3	2.40
வருடங்களுக்கு	109600	2670	14	3	2.40
கீழே	109600	2670	29	4	2.35
செய்ய	109600	2670	67	6	2.34
முன்	109600	2670	47	5	2.33
படத்தைப்	109600	2670	15	3	2.31
துப்பாக்கி	109600	2670	15	3	2.31
படத்தையும்	109600	2670	5	2	2.26
நிமிடம்	109600	2670	5	2	2.26
ரசிகர்களுக்கு	109600	2670	5	2	2.26
ஓடிய	109600	2670	5	2	2.26
வயதான	109600	2670	5	2	2.26
நேரத்துல	109600	2670	5	2	2.26
வசதி.	109600	2670	5	2	2.26
பாடம்	109600	2670	5	2	2.26
அருமையா	109600	2670	5	2	2.26
அதனால்	109600	2670	32	4	2.20
உங்களுக்கு	109600	2670	33	4	2.15
நிலையில்	109600	2670	33	4	2.15
நல்ல	109600	2670	74	6	2.14
வெளியாகும்	109600	2670	6	2	2.09
கலைஞரின்	109600	2670	6	2	2.09
அண்ணா	109600	2670	6	2	2.09
சார்	109600	2670	6	2	2.09
புன்னகை	109600	2670	6	2	2.09
ராம்	109600	2670	6	2	2.09
கோபால்	109600	2670	6	2	2.09
பதிவுக்கு	109600	2670	6	2	2.09
view	109600	2670	6	2	2.09
lens	109600	2670	6	2	2.09
வித்தியாசமாகவும்	109600	2670	6	2	2.09
எது?	109600	2670	6	2	2.09
வராமல்	109600	2670	6	2	2.09
ஆனது.	109600	2670	6	2	2.09
பாடல்கள்	109600	2670	18	3	2.09
தேடு	109600	2670	18	3	2.09
என்	109600	2670	128	8	2.04
இது.	109600	2670	19	3	2.03
எடுத்த	109600	2670	19	3	2.03
நானும்	109600	2670	19	3	2.03
முதல்	109600	2670	104	7	2.01
ன்னு	109600	2670	20	3	1.97
போய்	109600	2670	20	3	1.97
ஒளி	109600	2670	20	3	1.97
நிறைந்த	109600	2670	7	2	1.96
போடும்	109600	2670	7	2	1.96
யோகதா	109600	2670	7	2	1.96
விலையுயர்ந்த	109600	2670	7	2	1.96
ஏனென்றால்	109600	2670	7	2	1.96
காட்டி	109600	2670	7	2	1.96
எனது	109600	2670	39	4	1.91
தங்கள்	109600	2670	21	3	1.91
காட்சிகளை	109600	2670	22	3	1.86
சமயம்	109600	2670	22	3	1.86
இரண்டாவது	109600	2670	22	3	1.86
எடுக்கப்பட்ட	109600	2670	8	2	1.84
சொன்னார்.	109600	2670	8	2	1.84
கமலின்	109600	2670	8	2	1.84
16	109600	2670	8	2	1.84
பொருளடக்கத்தை	109600	2670	8	2	1.84
அனுப்பி	109600	2670	8	2	1.84
பிரச்னை	109600	2670	8	2	1.84
நம்மை	109600	2670	8	2	1.84
கொண்டு,	109600	2670	8	2	1.84
என்ன	109600	2670	141	8	1.83
நன்றாக	109600	2670	23	3	1.81
வேலை	109600	2670	65	5	1.79
என்று	109600	2670	498	19	1.77
மை	109600	2670	9	2	1.75
பொருளின்	109600	2670	9	2	1.75
எடுக்கலாம்.	109600	2670	9	2	1.75
காற்று	109600	2670	9	2	1.75
மட்டும்	109600	2670	68	5	1.72
5	109600	2670	45	4	1.72
மணி	109600	2670	25	3	1.71
பின்னர்	109600	2670	25	3	1.71
பிடித்த	109600	2670	26	3	1.67
அப்பறம்	109600	2670	10	2	1.66
18	109600	2670	10	2	1.66
வண்ணம்	109600	2670	10	2	1.66
பெயிண்டிங்	109600	2670	10	2	1.66
மொழிகள்	109600	2670	10	2	1.66
இந்த	109600	2670	379	15	1.66
பதிவு	109600	2670	48	4	1.64
பெரும்	109600	2670	27	3	1.63
உலக	109600	2670	27	3	1.63
"don't	109600	2670	1	1	1.61
movie"	109600	2670	1	1	1.61
மொழிபெயர்த்தது	109600	2670	1	1	1.61
கூகுள்.	109600	2670	1	1	1.61
மரகதம்	109600	2670	1	1	1.61
அவள்யார்	109600	2670	1	1	1.61
பாகப்பிரிவினை	109600	2670	1	1	1.61
சிவாஜியுடன்	109600	2670	1	1	1.61
கதாநாயகியாய்	109600	2670	1	1	1.61
தங்கப்பதுமை.ஜி.ராமனாதன்	109600	2670	1	1	1.61
சொதப்புவது	109600	2670	1	1	1.61
குறும்படத்தை..திரைப்படமும்	109600	2670	1	1	1.61
ஆக்கி..வெற்றிபடமும்	109600	2670	1	1	1.61
ஆக்கியுள்ளனர்.அனைத்து	109600	2670	1	1	1.61
பிரிவினரும்	109600	2670	1	1	1.61
அரவான்..	109600	2670	1	1	1.61
வராது.ஆனாலும்	109600	2670	1	1	1.61
எடுக்காவிடின்	109600	2670	1	1	1.61
அருமை.படத்தின்	109600	2670	1	1	1.61
நீளத்தை	109600	2670	1	1	1.61
குறைத்திருந்தால்...இன்னும்	109600	2670	1	1	1.61
விறுவிறுப்பாய்	109600	2670	1	1	1.61
ஏற்படுத்திவிடுகிறார்கள்.அதனால்	109600	2670	1	1	1.61
எதிர்ப்பார்க்க..அதில்	109600	2670	1	1	1.61
குறைந்தாலும்	109600	2670	1	1	1.61
வீழ்ந்து	109600	2670	1	1	1.61
விடுகிறது.அந்த	109600	2670	1	1	1.61
(the	109600	2670	1	1	1.61
home)	109600	2670	1	1	1.61
வடகரை	109600	2670	1	1	1.61
என்னைஇந்தப்	109600	2670	1	1	1.61
சொல்லியிருந்தார்.இப்படிப்பட்ட	109600	2670	1	1	1.61
நன்றி.இனி	109600	2670	1	1	1.61
பிஜூ	109600	2670	1	1	1.61
மனைவியையும்,	109600	2670	1	1	1.61
மகனையும்..தில்லியில்	109600	2670	1	1	1.61
வெடிகுண்டு	109600	2670	1	1	1.61
மீனா...மாலினி	109600	2670	1	1	1.61
கதானாயகி..படம்	109600	2670	1	1	1.61
வெற்றி..சித்திரம்	109600	2670	1	1	1.61
பேசுதடி..போன்ற	109600	2670	1	1	1.61
காத்தவராயன்...சிவாஜியின்	109600	2670	1	1	1.61
எண்ணிக்கையில்	109600	2670	1	1	1.61
அதிகம்...அவ்வளவுதான்	109600	2670	1	1	1.61
இதைத்தவிர	109600	2670	1	1	1.61
சாம்ராட்	109600	2670	1	1	1.61
அசோகன்	109600	2670	1	1	1.61
வசந்த	109600	2670	1	1	1.61
போலே	109600	2670	1	1	1.61
9:39 AM	109600	2670	1	1	1.61
1.ரேப்	109600	2670	1	1	1.61
எடுத்தாரே	109600	2670	1	1	1.61
தயாரிப்பாளரை	109600	2670	1	1	1.61
அரெஸ்ட்	109600	2670	1	1	1.61
பண்ணிட்டாங்க?	109600	2670	1	1	1.61
தவிர்த்து..மலையாளத்	109600	2670	1	1	1.61
திரையுலகில்	109600	2670	1	1	1.61
ஆஸ்காருக்குத்	109600	2670	1	1	1.61
தேர்ந்தெடுக்கப்பட்டுள்ள	109600	2670	1	1	1.61
2.கதை,வசனம்,டைரக்ஷன்,பாடல்,ஹீரோ	109600	2670	1	1	1.61
பொறுப்பையும்	109600	2670	1	1	1.61
ஏத்துக்கிட்டு..ஒரு	109600	2670	1	1	1.61
ஆசை..யாராவது	109600	2670	1	1	1.61
கிடைப்பாங்களா?	109600	2670	1	1	1.61
3Dயாகவே	109600	2670	1	1	1.61
எண்ணம்தான்	109600	2670	1	1	1.61
ஓடக்	109600	2670	1	1	1.61
வெளிவந்து	109600	2670	1	1	1.61
தேதியோடு	109600	2670	1	1	1.61
மாற்றப்படுகிற	109600	2670	1	1	1.61
விஷயமே	109600	2670	1	1	1.61
ஓடிக்கொண்டிருக்கும்போது	109600	2670	1	1	1.61
ரசிகரைப்	109600	2670	1	1	1.61
உற்சாகமாக	109600	2670	1	1	1.61
ரசித்துப்	109600	2670	1	1	1.61
முடித்ததும்	109600	2670	1	1	1.61
வியந்து	109600	2670	1	1	1.61
÷ரஜினியிடம்	109600	2670	1	1	1.61
"கோச்சடையான்	109600	2670	1	1	1.61
மாதத்திற்குள்	109600	2670	1	1	1.61
முடிவடைந்துவிடுமா'	109600	2670	1	1	1.61
"சூப்பர்'	109600	2670	1	1	1.61
நன்றி'	109600	2670	1	1	1.61
"நாற்பது	109600	2670	1	1	1.61
நிமிடப்	109600	2670	1	1	1.61
குறைஞ்சதே	109600	2670	1	1	1.61
தெரியல.	109600	2670	1	1	1.61
÷கவிஞர்	109600	2670	1	1	1.61
"இந்தப்	109600	2670	1	1	1.61
செல்லும்'	109600	2670	1	1	1.61
சிஸ்டத்தில	109600	2670	1	1	1.61
பாக்கறது	109600	2670	1	1	1.61
அனுபவமா	109600	2670	1	1	1.61
தசாவதாரக்	109600	2670	1	1	1.61
11ஆம்	109600	2670	1	1	1.61
வெளியாகிறது.பொங்கலை	109600	2670	1	1	1.61
சிலவும்	109600	2670	1	1	1.61
வெளியாவதால்...தியேட்டர்	109600	2670	1	1	1.61
தவிர்த்து...இப்போதெல்லாம்..எவ்வளவு	109600	2670	1	1	1.61
முடியுமோ..அவ்வளவு	109600	2670	1	1	1.61
வெளியாகி..விமரிசனங்கள்	109600	2670	1	1	1.61
வருவதற்குள்..நடத்தி	109600	2670	1	1	1.61
வசூலைப்	109600	2670	1	1	1.61
பெறுவதே	109600	2670	1	1	1.61
நோக்கமாகி	109600	2670	1	1	1.61
வழி..என	109600	2670	1	1	1.61
எண்ணியே	109600	2670	1	1	1.61
கமல்..தன்	109600	2670	1	1	1.61
டிடிஎச்	109600	2670	1	1	1.61
சில்	109600	2670	1	1	1.61
ஒளிபரப்ப	109600	2670	1	1	1.61
ஏற்பாடுசெய்துள்ளார்.இதற்காக	109600	2670	1	1	1.61
வரலாம்..ஆனால்	109600	2670	1	1	1.61
போக்கில்..எல்லா	109600	2670	1	1	1.61
படங்களுக்கும்	109600	2670	1	1	1.61
வரும்.மேலும்	109600	2670	1	1	1.61
அரங்கிற்குத்	109600	2670	1	1	1.61
வருவர்.	109600	2670	1	1	1.61
.திருட்டு	109600	2670	1	1	1.61
டிவிடியில்	109600	2670	1	1	1.61
வந்தும்	109600	2670	1	1	1.61
..திரையரங்கிற்கு	109600	2670	1	1	1.61
வரவில்லையா..	109600	2670	1	1	1.61
..அண்ணாவின்	109600	2670	1	1	1.61
கதை..உடன்	109600	2670	1	1	1.61
பானுமதி..எஸ்.எஸ்,ஆர்.,	109600	2670	1	1	1.61
பாடல்கள்..(பொது	109600	2670	1	1	1.61
நலம்).,	109600	2670	1	1	1.61
திரையிடப்பட்டது	109600	2670	1	1	1.61
காட்சியாகவே	109600	2670	1	1	1.61
வசனத்தை	109600	2670	1	1	1.61
டேக்-ல்	109600	2670	1	1	1.61
ராணி.	109600	2670	1	1	1.61
பிலிம்ஸ்	109600	2670	1	1	1.61
விநியோகித்த	109600	2670	1	1	1.61
தீபம்.	109600	2670	1	1	1.61
(continous	109600	2670	1	1	1.61
House	109600	2670	1	1	1.61
shows)	109600	2670	1	1	1.61
நிகழ்த்தியதும்	109600	2670	1	1	1.61
காசினோ	109600	2670	1	1	1.61
ஒருவருக்கு	109600	2670	1	1	1.61
தந்தையாக	109600	2670	1	1	1.61
எழுத,	109600	2670	1	1	1.61
தீட்ட,	109600	2670	1	1	1.61
4:58 PM	109600	2670	1	1	1.61
ஈரானிய	109600	2670	1	1	1.61
[manam2.jpg]	109600	2670	1	1	1.61
மொத்தம்	109600	2670	1	1	1.61
அத்துடன்,	109600	2670	1	1	1.61
கொண்டுவிடுகிறாள்	109600	2670	1	1	1.61
என்பதுடன்	109600	2670	1	1	1.61
நாளாகிவிட்டதால்	109600	2670	1	1	1.61
நாகேஷுக்காக	109600	2670	1	1	1.61
ஓடலாம்	109600	2670	1	1	1.61
காலம்.	109600	2670	1	1	1.61
விரும்பிகள்	109600	2670	1	1	1.61
யாரு	109600	2670	1	1	1.61
காதுலடா	109600	2670	1	1	1.61
சுத்துறீங்க	109600	2670	1	1	1.61
கேக்கறாங்களாம்.	109600	2670	1	1	1.61
பாக்கலாமா	109600	2670	1	1	1.61
வாயப்பொளக்காதீங்க	109600	2670	1	1	1.61
முடிச்சிட்டு	109600	2670	1	1	1.61
12:00	109600	2670	1	1	1.61
இதக்கேட்ட	109600	2670	1	1	1.61
ரொமான்டிக்கா,	109600	2670	1	1	1.61
பொயட்டிக்கா	109600	2670	1	1	1.61
இருக்குமோன்னு	109600	2670	1	1	1.61
நம்மல்ல	109600	2670	1	1	1.61
நினப்போம்.	109600	2670	1	1	1.61
ஆரம்பிச்சு	109600	2670	1	1	1.61
தியேட்டரே	109600	2670	1	1	1.61
ஆயிடுது.	109600	2670	1	1	1.61
எடுத்ததுக்கு	109600	2670	1	1	1.61
கிடைச்சிருக்கு.	109600	2670	1	1	1.61
சொல்லத்தோனுது.	109600	2670	1	1	1.61
ஒன்னக்கூட	109600	2670	1	1	1.61
பாத்தது	109600	2670	1	1	1.61
பளு,	109600	2670	1	1	1.61
மாற்றம்,	109600	2670	1	1	1.61
வாங்குதல்	109600	2670	1	1	1.61
வளர்ச்சியினாலும்	109600	2670	1	1	1.61
கண்டுபிடிப்புகளாலும்	109600	2670	1	1	1.61
நாட்டம்	109600	2670	1	1	1.61
அதிகமாகி	109600	2670	1	1	1.61
இல்லாமலே	109600	2670	1	1	1.61
[Lanterman_mill1.png]	109600	2670	1	1	1.61
இருந்தாலல்லவா	109600	2670	1	1	1.61
தேடச்	109600	2670	1	1	1.61
சொன்னேன்.	109600	2670	1	1	1.61
[Lanterman_mill2.png]	109600	2670	1	1	1.61
(கான்வாஸ்	109600	2670	1	1	1.61
inches)	109600	2670	1	1	1.61
ஆற்றலால்	109600	2670	1	1	1.61
எந்திர	109600	2670	1	1	1.61
அரவை	109600	2670	1	1	1.61
ஆலை.	109600	2670	1	1	1.61
[lady_potter_small.png]	109600	2670	1	1	1.61
அம்மாவுக்கு	109600	2670	1	1	1.61
தங்கக்	109600	2670	1	1	1.61
தூண்களைப்	109600	2670	1	1	1.61
வெளிபடுத்திய	109600	2670	1	1	1.61
’வாட்ஸ்-ஆப்’	109600	2670	1	1	1.61
கோடிட்டு	109600	2670	1	1	1.61
த்தைப்	109600	2670	1	1	1.61
தானோவென்று	109600	2670	1	1	1.61
போட்டிருக்கிறீரென்று	109600	2670	1	1	1.61
கேட்டுவிடக்	109600	2670	1	1	1.61
என்பதற்காகத்தான்.	109600	2670	1	1	1.61
போடாமலில்லை	109600	2670	1	1	1.61
தகுதி	109600	2670	1	1	1.61
பேசியில்	109600	2670	1	1	1.61
கோட்டோவியமாக	109600	2670	1	1	1.61
சக்கரத்தில்	109600	2670	1	1	1.61
மாட்டியதை	109600	2670	1	1	1.61
லைவ்வாக	109600	2670	1	1	1.61
பிடிப்பது	109600	2670	1	1	1.61
பேசும்.	109600	2670	1	1	1.61
அங்குலத்தில்	109600	2670	1	1	1.61
அங்குலத்திலும்	109600	2670	1	1	1.61
சென்டிமீட்டர்-செட்	109600	2670	1	1	1.61
சென்டிமீட்ட	109600	2670	1	1	1.61
ரிலும்	109600	2670	1	1	1.61
வரும்.இந்த	109600	2670	1	1	1.61
அகலத்திற்கு	109600	2670	1	1	1.61
மாற்றியபின்	109600	2670	1	1	1.61
புகைப்படத்தையே	109600	2670	1	1	1.61
பென்சிலால்	109600	2670	1	1	1.61
வரைந்ததுபோல்	109600	2670	1	1	1.61
http://wk.w3tamil.com/tamil99/index.htmjavascript:void(0)l	109600	2670	1	1	1.61
(freme	109600	2670	1	1	1.61
(subject)	109600	2670	1	1	1.61
நேரடியாகப்	109600	2670	1	1	1.61
எடுங்கள்	109600	2670	1	1	1.61
(Get	109600	2670	1	1	1.61
low)	109600	2670	1	1	1.61
[getlow-464x700.webp]	109600	2670	1	1	1.61
மட்டத்திலிருந்து(eye-level)	109600	2670	1	1	1.61
எடுக்கிறார்கள்.	109600	2670	1	1	1.61
[getlow1.webp]	109600	2670	1	1	1.61
கோணத்தில்(low	109600	2670	1	1	1.61
angle)	109600	2670	1	1	1.61
வாழ்க்கையை	109600	2670	1	1	1.61
பெரியதாக	109600	2670	1	1	1.61
பாம்பு	109600	2670	1	1	1.61
எடுக்கும்!)	109600	2670	1	1	1.61
(எ.கா)	109600	2670	1	1	1.61
-இந்த	109600	2670	1	1	1.61
பூனைப்	109600	2670	1	1	1.61
கேள்விகளுக்கு,	109600	2670	1	1	1.61
திரைக்கதையினால்	109600	2670	1	1	1.61
விழிகள்'.	109600	2670	1	1	1.61
வெற்றிபெற்றது.	109600	2670	1	1	1.61
பதிலளித்த	109600	2670	1	1	1.61
Trend	109600	2670	1	1	1.61
Setter.	109600	2670	1	1	1.61
இப்படியொரு	109600	2670	1	1	1.61
Stylish,	109600	2670	1	1	1.61
cast,	109600	2670	1	1	1.61
Thriller	109600	2670	1	1	1.61
தயாராகுமா	109600	2670	1	1	1.61
அப்பாவும்	109600	2670	1	1	1.61
எம்.ஜி.ஆர்	109600	2670	1	1	1.61
'அன்பே	109600	2670	1	1	1.61
பார்த்துக்கொண்டிருந்த	109600	2670	1	1	1.61
September'	109600	2670	1	1	1.61
தழுவல்'	109600	2670	1	1	1.61
கொஞ்சநாள்	109600	2670	1	1	1.61
நண்பருடைய	109600	2670	1	1	1.61
disk	109600	2670	1	1	1.61
ஆராய்ந்தபோது,	109600	2670	1	1	1.61
புனைவுகள்	109600	2670	1	1	1.61
ஆல்பத்தை	109600	2670	1	1	1.61
திரும்(ப்)பி	109600	2670	1	1	1.61
காப்பியாண்டா'	109600	2670	1	1	1.61
பொலம்ப,	109600	2670	1	1	1.61
ஆதலால்	109600	2670	1	1	1.61
துணுக்கு.	109600	2670	1	1	1.61
நெகிழ்ச்சி	109600	2670	1	1	1.61
கன்னியாஸ்த்ரி	109600	2670	1	1	1.61
நர்ஸ்	109600	2670	1	1	1.61
மச்சி!	109600	2670	1	1	1.61
//இரண்டு	109600	2670	1	1	1.61
வில்லை//	109600	2670	1	1	1.61
தோன்றியதோ	109600	2670	1	1	1.61
எழுதினேன்	109600	2670	1	1	1.61
//பெருமை	109600	2670	1	1	1.61
Favorite	109600	2670	1	1	1.61
Listல்	109600	2670	1	1	1.61
இருந்தது..	109600	2670	1	1	1.61
பார்த்தேன்(நீங்கள்	109600	2670	1	1	1.61
போலவே..)	109600	2670	1	1	1.61
@பிரியா,	109600	2670	1	1	1.61
எல்லார்க்குமே	109600	2670	1	1	1.61
வந்திருக்காது.	109600	2670	1	1	1.61
புதுமையான	109600	2670	1	1	1.61
மேட்ரிக்ஸ்	109600	2670	1	1	1.61
(The	109600	2670	1	1	1.61
Matrix)	109600	2670	1	1	1.61
85-65-75	109600	2670	1	1	1.61
கதை...	109600	2670	1	1	1.61
2:30 PM	109600	2670	1	1	1.61
Basics,	109600	2670	1	1	1.61
DSLR,	109600	2670	1	1	1.61
பாடங்கள்,	109600	2670	1	1	1.61
விரும்பு,	109600	2670	1	1	1.61
வணக்கம்,	109600	2670	1	1	1.61
புகைப்படக்கலைக்கு	109600	2670	1	1	1.61
விடயங்களை	109600	2670	1	1	1.61
தெளிவாக்கும்.	109600	2670	1	1	1.61
எடுப்பதை	109600	2670	1	1	1.61
grainy	109600	2670	1	1	1.61
ஆகிக்கொண்டே	109600	2670	1	1	1.61
போகும்!	109600	2670	1	1	1.61
வேண்டும்.இல்லையெனில்	109600	2670	1	1	1.61
சொர	109600	2670	1	1	1.61
சொரவென்றிருக்கும்!!	109600	2670	1	1	1.61
-2.-0.67,0	109600	2670	1	1	1.61
பழகவில்லை!	109600	2670	1	1	1.61
9:36 AM	109600	2670	1	1	1.61
நல்லதொரு	109600	2670	1	1	1.61
(12	109600	2670	1	1	1.61
வருட)	109600	2670	1	1	1.61
மேலோங்குகிறது	109600	2670	1	1	1.61
புகைப்படங்கள்//	109600	2670	1	1	1.61
ஆச்சு\?	109600	2670	1	1	1.61
D3/D700	109600	2670	1	1	1.61
FULL	109600	2670	1	1	1.61
FRAME	109600	2670	1	1	1.61
சென்சர்ல	109600	2670	1	1	1.61
புடிச்சு	109600	2670	1	1	1.61
பாருங்க.	109600	2670	1	1	1.61
ஃபுல்	109600	2670	1	1	1.61
சைஸில	109600	2670	1	1	1.61
பாத்திட்டு	109600	2670	1	1	1.61
சொல்லுங்க,	109600	2670	1	1	1.61
800’ல	109600	2670	1	1	1.61
மாதிரியா	109600	2670	1	1	1.61
பந்திக்கு	109600	2670	1	1	1.61
முந்திக்கோ	109600	2670	1	1	1.61
விரும்பு	109600	2670	1	1	1.61
Histogram	109600	2670	1	1	1.61
பார்த்தது	109600	2670	1	1	1.61
தோழியுடன்	109600	2670	1	1	1.61
சென்றது,	109600	2670	1	1	1.61
இறுதித்	109600	2670	1	1	1.61
வகுப்புமாக	109600	2670	1	1	1.61
ஏன்பாட்டியின்	109600	2670	1	1	1.61
துணை?!யுடன்	109600	2670	1	1	1.61
பார்த்தபடம்	109600	2670	1	1	1.61
(நினைவுகளால்)	109600	2670	1	1	1.61
தேய்பிறை	109600	2670	1	1	1.61
நிலவாகும்	109600	2670	1	1	1.61
உன்னில்	109600	2670	1	1	1.61
கலந்தால்	109600	2670	1	1	1.61
புதுமுகம்	109600	2670	1	1	1.61
தர்மத்திற்காக	109600	2670	1	1	1.61
செய்பவனின்	109600	2670	1	1	1.61
நியாய	109600	2670	1	1	1.61
அதர்மங்களின்	109600	2670	1	1	1.61
மேலிட்ட,	109600	2670	1	1	1.61
பாலச்சந்தர்	109600	2670	1	1	1.61
தலைவிதியாக	109600	2670	1	1	1.61
எடுத்துதானே	109600	2670	1	1	1.61
படுத்துவார்.	109600	2670	1	1	1.61
துணியால்	109600	2670	1	1	1.61
துத்தநாக	109600	2670	1	1	1.61
ஆக்ஸைடுடன்	109600	2670	1	1	1.61
பூசப்பட்டிருக்கிறது,	109600	2670	1	1	1.61
சாயங்களைப்	109600	2670	1	1	1.61
வரையப்பட்டுள்ளது;	109600	2670	1	1	1.61
விலைமதிப்பற்ற	109600	2670	1	1	1.61
கற்கள்,	109600	2670	1	1	1.61
தங்க	109600	2670	1	1	1.61
